seed,model,dtype,mode,context,pred,patient_id,log_datetime,rmse,mae,mape
247659,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-37-02,66.45657370070235,31.37177427388358,NaN
247659,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-37-24,83.09132828612243,31.63602596118733,NaN
427368,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-37-39,69.07173042380657,31.08593372136288,NaN
427368,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-37-57,66.10547769221733,29.927213393672364,NaN
238822,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-38-17,82.90956127566812,31.170210443291698,NaN
238822,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-38-31,70.7912959277983,29.8825455537172,NaN
809906,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-38-46,71.19286259112287,29.929220608254706,NaN
809906,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-39-08,74.83572333151108,30.65867035827725,NaN
831363,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-39-23,73.31164593412221,30.95754133614897,NaN
831363,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-39-35,74.37522188959808,30.653238636754754,NaN
