seed,model,dtype,mode,context,pred,patient_id,log_datetime,rmse,mae,mape
247659,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-40-14,60.46053371835701,29.610449191026987,NaN
247659,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-40-27,68.00631072691786,28.4965918350413,NaN
427368,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-40-40,68.16584787640386,29.387620326116068,NaN
427368,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-41-00,59.26063765783542,27.686698428845997,NaN
238822,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-41-31,75.08032639385499,29.50741237090284,NaN
238822,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-41-43,66.82519472994969,28.166786605944083,NaN
809906,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-41-59,67.65450678393913,29.018556875493903,NaN
809906,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-42-11,64.43347787260238,27.918121670351336,NaN
831363,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-42-25,65.94502810579596,29.78570852346312,NaN
831363,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-42-38,70.3732288600202,28.16700511765053,NaN
