seed,model,dtype,mode,context,pred,patient_id,log_datetime,rmse,mae,mape
247659,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-50-48,33.767733959548295,21.366602663376,0.13866969706589544
247659,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-51-05,28.065931590736188,19.54837327719059,0.09691786217098286
427368,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-51-20,32.71978643668275,21.083528180221407,0.1369552068760199
427368,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-51-47,29.1099397949235,19.658104027977938,0.0980059254807827
238822,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-52-03,55.25521766509367,20.8832482324862,0.13462353798845275
238822,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-52-19,75.96381351972087,20.33652980618286,0.10089848022757798
809906,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-52-34,70.03308765444594,22.185579329918827,0.14575609178541907
809906,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-53-03,27.875610574456438,19.38794648600381,0.09692172933475436
831363,amazon-chronos-t5-base,float32,inference,6,9,584,2025-04-09_10-53-24,38.93928102062574,21.03008268461771,0.13760741149178016
831363,amazon-chronos-t5-base,float32,inference,6,9,570,2025-04-09_10-53-46,49.60288117578379,19.999245885746515,0.09927399094999631
